## Torsion are defined with the following atomIDs:
# dihed1: ai= 21 aj= 20 ak= 19 al= 15
# dihed2: ai= 20 aj= 19 ak= 15 al= 16
# dihed3: ai= 14 aj= 13 ak= 11 al= 1
# dihed4: ai= 13 aj= 11 ak= 1 al= 2
# dihed5: ai= 6 aj= 5 ak= 28 al= 29
# dihed6: ai= 10 aj= 9 ak= 30 al= 36
# dihed7: ai= 18 aj= 17 ak= 25 al= 26
# dihed8: ai= 17 aj= 25 ak= 26 al= 27
# dihed9: ai= 15 aj= 16 ak= 22 al= 23
# dihed10: ai= 16 aj= 22 ak= 23 al= 24
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
157  154.448   57.137 -137.367   58.013 -163.100  127.562   83.969  170.508  120.698  -55.522
158  170.971   67.335 -131.765   57.935 -174.511 -144.045    5.298  169.890  123.178  -93.858
159  156.559   57.603 -125.129   49.831  171.696 -148.001   33.364  147.243  117.809  -69.312
160  156.362   39.884 -131.389   53.507  168.535  116.879   41.076  152.243  129.021  -62.885
161  169.974   58.440 -126.442   54.040 -176.813 -156.725  137.717 -152.174   98.983  -72.444
162  165.752   51.878 -140.203   69.065  179.671 -152.802  116.748  148.705  111.506  -81.626
163  173.511   10.070 -146.186   64.363 -176.482  165.336  102.788  157.844  122.388  -56.035
164  167.668   45.997 -125.662   53.563  160.187  135.784  108.951  157.447  115.388  -78.788
165  165.801   13.293 -159.077   50.450  173.044  146.097   98.121  -89.433  122.832  -82.098
166  168.434   70.006 -134.882   52.872  161.130  142.123  110.502  -74.944  120.255  -75.657
167  153.638   62.008 -121.206   50.814 -173.910  141.226  120.761  144.324  104.104  -77.533
168  171.241   31.183 -139.218   58.411  169.749  127.144   58.259  166.855  118.312  -48.311
169  171.243   35.175 -145.827   63.471  161.444  140.439   95.229  -76.614   95.085   99.391
170  169.135   12.697 -140.767   62.607 -174.466  128.682  127.882  151.739  117.611 -108.665
171 -179.855   -2.162 -141.568   62.321  176.579  136.882   25.541 -167.665  117.858  -76.054
172  174.981   27.300 -141.094   46.957  161.853  139.040   86.493  132.362  125.279  -67.841
173  174.675   39.351 -131.177   49.416 -161.113  144.058   41.299  159.102  115.986  -37.393
174  172.256   39.282 -131.611   54.423 -170.859  124.273   15.936  170.809  114.553  -87.635
175  166.592   32.514 -132.913   51.631 -156.146  159.875   33.876  164.002   89.192  112.941
176  174.066    0.450 -152.648   54.342  170.599  138.477   27.921   74.530  145.293  -59.002
177  165.374    3.064 -148.916   51.668  176.263  135.034   53.993  154.340  127.465  -65.377
178  176.174    6.570 -133.356   51.645 -166.834  145.731  107.773  -76.521  102.165  123.509
179  170.984   23.415 -138.839   38.894 -166.641  143.440   31.650  168.408  129.445  -48.052
180  142.949   47.742 -142.322   66.103 -158.409  133.664  108.339  145.621  118.882  -78.039
181  176.749   22.744 -158.060   56.467 -179.866  136.976  103.784  -83.556  126.971  -77.363
182 -174.233    8.351 -141.344   51.625 -171.863  145.682   33.687  154.154  129.057  -85.858
183  164.797   68.637 -125.538   40.528  175.676  131.074  115.347  143.858  115.474  -79.333
184  151.948   34.015 -146.854   57.270  178.507  147.229   49.890  160.937   72.104  132.813
185  165.254    4.427 -150.281   57.926 -177.086  137.256   63.236  117.414  118.291  -65.851
186  149.388   41.407 -131.287   57.863  168.368  140.831   20.179  156.074  114.196  -96.306
187  174.677   37.113 -136.982   60.567  167.266   41.298   32.097  170.555  103.089  -63.423
188  156.370   34.755 -129.500   48.384  156.663   10.984   71.365  163.766   80.373  134.009
189  153.423   84.241 -132.628   56.548 -160.301  -36.359   70.925  152.146  117.223 -111.482
190  153.971   28.056 -138.352   49.000 -179.017  -38.027  110.742  161.947  123.409 -154.630
191  169.545   35.378 -120.599   51.668 -177.551  133.651   -0.633 -175.220  102.730  -61.857
192  151.207   29.304 -129.908   57.935 -161.821  160.714   35.706  163.720  102.213  -55.937
193  163.830   28.689 -141.068   59.195  172.921  156.426   48.218  167.404   83.773   53.679
194  171.309   58.197 -132.893   53.302 -172.854  127.687  163.475 -158.015   63.165   53.312
195  176.887    8.572 -133.795   57.433 -165.505  141.423  116.440  157.093  119.550  -91.517
196  149.560   51.335 -125.055   47.290  172.876  127.767   25.189  154.544   79.551   61.829
197  177.914   34.749 -127.056   42.797 -168.565  145.709   84.313  153.890  109.446  -76.127
198  173.627   66.022 -145.366   55.947  170.763  173.758  113.182  175.471  125.914 -130.305
199  143.864   75.942 -122.382   56.395  179.514 -143.665  132.919 -159.596  108.627  -65.977
200  164.183   19.260 -132.311   45.536 -173.834  128.010  102.333  173.354  128.134  -70.155
201  171.579    5.050 -136.208   51.168 -152.619 -145.945  100.980  164.733  148.056  -63.845
202  167.427   36.427 -136.734   56.739 -154.720  142.444   14.222  178.944  123.018  -78.637
203  169.390   46.972 -134.836   47.448 -153.652  140.407  115.255  177.422  132.521  -85.272
204  166.238   26.406 -128.207   55.417 -163.139  139.998   18.945  168.964  113.451  153.785
205  161.127   75.099 -122.185   48.974 -166.869  112.414   81.471  125.106   98.186  -87.866
206 -177.662   30.456 -128.777   72.032 -128.759  128.245  122.947  124.010  110.300  -71.655
207  167.267   43.998 -140.075   59.460 -168.384  149.782  116.552  137.142  106.322 -161.487
208  134.650   57.579 -126.091   56.934  178.183  144.060  134.979 -146.911  105.695  -73.192
209  161.921   29.832 -143.483   61.175 -172.807 -169.110  113.437  146.609  118.987  -59.656
210  172.684   16.207 -146.916   55.214  173.775  141.812   95.200  142.492  137.318  -82.928
211  159.888   33.025 -125.492   50.652  173.595  113.986  137.134 -147.685   82.450  120.581
212 -177.356   30.042 -132.187   44.676 -157.338  145.657   45.007  145.719  127.948  -86.756
213  178.322    9.576 -138.964   48.271 -167.957  127.449  104.424  168.958  131.298  -93.892
214  172.793   17.505 -136.914   57.261 -165.633  122.112  121.371  153.295  116.572  -74.846
215  171.729   36.113 -140.716   58.941  166.062  152.770  134.062  136.157   99.703  -82.257
216  154.476   54.357 -132.193   53.520  172.297  146.232  165.714 -156.248   72.439   61.617
217 -178.256   23.229 -126.313   49.292 -149.437  142.889   30.236  155.966  117.204  -81.223
218  163.586   51.777 -142.290   68.025 -168.547  151.391  127.920  175.432  112.557  -54.312
219  163.879   28.486 -125.621   59.696 -168.771  153.077  107.725  130.756   70.533 -178.978
220  166.741   59.180 -134.266   55.087 -159.699  130.935  133.143 -144.120   63.884   76.163
221  162.546   41.700 -127.738   46.592 -167.167  -37.665  121.814  125.442  101.857 -115.373
222  167.217   52.377 -147.387   65.666 -140.269  -34.037  117.459  133.768  119.536  -70.167
223  170.087   20.402 -136.108   58.839 -157.661  -26.606  130.923 -154.823  118.380  -67.345
224  169.626   22.362 -136.405   62.858 -155.722  -48.301  126.898  128.683  124.912  -81.278
225  168.474   26.601 -134.466   53.485 -159.200  -34.891   66.570  173.857   86.698  140.624
226  150.365   58.166 -117.309   55.494 -170.325  -49.261   44.439  170.050  109.856  -59.818
227  157.613   54.600 -129.815   57.386  177.892  -36.926  143.174 -149.847   76.933   84.648
228  142.614   64.570 -138.764   49.702 -136.674  -53.643  114.740 -179.152  118.494 -145.440
229  152.243    5.490 -142.530   53.357 -170.029  -45.085  130.574  -67.977  132.242  -84.457
230 -177.713   32.127 -125.788   47.376 -171.885  -36.837  127.438 -173.212  108.401 -105.360
231  166.507   30.281 -135.563   47.100  171.152  -32.570   77.772  149.385  130.159 -126.745
