## Torsion are defined with the following atomIDs:
# dihed1: ai= 23 aj= 22 ak= 18 al= 19
# dihed2: ai= 17 aj= 16 ak= 14 al= 1
# dihed3: ai= 16 aj= 14 ak= 1 al= 6
# dihed4: ai= 11 aj= 12 ak= 28 al= 34
# dihed5: ai= 21 aj= 20 ak= 26 al= 27
# dihed6: ai= 18 aj= 19 ak= 24 al= 25
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
295  166.392  149.657  178.609  -67.286   -6.458   74.410
296  154.281  158.813 -177.385  -60.626  -21.614   24.230
297 -176.127  156.637  157.345  -64.761   55.297   25.021
298 -171.441  140.244  170.922  -56.269  -19.151   68.188
299 -168.035  156.382  171.118  -68.395  -17.204   37.643
300  173.757  145.720  175.294  -77.577   -7.144   59.716
301  172.047  143.464  172.739  -80.997  -23.363  121.123
302  169.383  148.922  179.664  -65.993    2.236  115.225
303  175.731  156.033  174.344  -71.702  -20.757   49.669
304  134.878  149.678 -172.635  -83.586    6.058   34.762
305 -176.646  137.286  165.627  -90.607   -9.266   81.847
306  178.212  150.682  178.191  -83.795  -12.286   68.299
307 -177.934  164.186  153.365  -75.132   12.212   65.948
308 -179.774  146.778  174.559  -82.519  -10.772   39.502
309 -176.769  151.660  164.661  -67.138  -16.685  164.081
310  179.970  158.863  171.480  -78.048   42.889   56.521
311  178.165  156.259  172.396  -78.686   17.596   60.382
312 -174.186  161.777  167.681  -87.127   14.910   71.596
313 -166.202  153.302  175.741  -78.381   -8.208   39.341
314  172.287  170.621  165.976  -74.703  -38.338   67.756
315  163.653  151.482 -178.771  -69.951   -9.521   85.359
316 -167.041  138.777  159.841  -80.644    7.003   73.535
317 -144.198  143.999  158.240  -64.724   87.676   67.494
318 -172.750  156.730  168.423  -82.826  -10.852   21.117
319 -179.928  156.745  163.512  -71.530   22.412  -28.875
320  164.623  147.103  176.126  -84.861  -27.467   82.203
321  170.546  168.412  157.427  -63.678   -0.087   77.912
322 -157.230  165.814  167.350  -81.386  102.783   52.102
323 -174.418  128.742 -174.431  -77.858    0.405   57.737
324  165.379  162.475  155.540  -85.970    1.996   42.508
325 -174.109  144.656  175.800  -62.786    1.864   92.187
326 -163.869  138.986  179.682  -90.800  -41.865  161.636
327 -134.417  133.860  172.382  -88.483  -12.200   92.870
328 -171.754  151.474  172.836  -87.877  -37.369  150.658
329 -176.619  146.352  172.210  -65.414  -13.041  125.913
330 -147.156  147.682  155.599  -80.240  143.940  107.539
331  164.528  153.142  174.627  -77.657  -10.071   52.517
332 -174.217  143.365  164.220  -88.085   37.445   84.381
333 -164.646  154.145  155.655  -62.030    7.386   37.195
334 -162.227  158.299  160.842  -78.877    7.670   66.326
335  172.805  159.622  174.626  -75.333  -18.603   52.636
336  169.647  161.119  162.411  -84.311   11.078   43.908
337 -164.866  147.802  179.995  -66.895  -11.419   53.052
338  173.991  155.717  177.506  -62.200   19.085 -162.956
339 -176.092  143.599 -177.268  -62.941  122.186   26.172
340 -108.787  155.531  162.655  -75.362   -5.556   29.082
341 -175.395  152.068  159.324  -85.594   20.923   43.272
342  177.959  161.341  175.052  -85.987  -45.544   62.469
343 -161.383  153.301  161.237  -75.511   23.947   73.903
344 -166.514  135.039 -179.502  -68.776    1.986   53.820
345 -160.667  156.765  155.111  -73.091   44.367   68.300
346 -159.331  155.279  172.303  -76.407   -5.316  122.122
347 -170.351  141.181 -178.350  -71.779  -23.404  111.193
348 -140.032  136.974  175.295  -64.281   38.951   83.811
349  159.385  163.065  170.802  -86.664  -13.220   21.726
350 -157.287  147.393  169.836  -69.773    4.602   56.433
351 -176.799  163.819  169.801  -66.986    5.836    9.051
352 -173.112  169.540  163.334  -77.993   14.939   66.221
353 -166.602  139.270  168.267  -84.383    2.574   23.448
354  165.869  146.289 -173.769  -71.724  -21.119  116.840
355 -175.010  154.206  154.020  -65.007    3.097   58.958
356 -151.253  144.939  170.329  -64.506  114.343  124.869
357  168.215  162.672  171.717  -90.045  -25.047   87.642
358 -150.882  137.645  171.931  -66.743   18.836   67.847
359 -161.614  137.174  175.904  -77.801   32.432  122.116
360  176.972  143.019 -177.301  -82.887  -20.467   76.750
361  178.141  155.925  177.016  -77.580   -3.833   77.903
362  167.920  161.472  166.994  -82.277   20.117   58.188
363 -165.101  145.299  160.112  -72.219   -6.388   63.215
364 -171.668  143.381 -172.963  -72.834  -15.780  146.289
365  172.126  159.724  169.117  -85.324   -4.160  -22.376
366  167.007  168.423  160.811  -81.159  152.820   55.075
367  175.308  157.976  157.769  -75.219   10.516   81.633
368 -174.910  147.184  172.911  -80.344   -5.244   93.266
369  179.951  155.800  174.290  -63.273   47.977  -47.272
370 -169.842  155.577  168.106  -64.946   -7.059  117.261
371 -177.444  151.895  173.419  -79.778  -31.961  131.947
372 -152.702  140.435  171.867  -86.296   22.258   87.193
373 -167.585  169.345  159.080  -75.359  -18.389  126.323
374 -171.111  149.326  158.955  -67.852  -21.597  -53.832
375 -153.965  151.565  176.532  -75.596  -10.977   90.402
376  164.589  162.183  158.037  -74.299    2.502   47.987
377 -153.052  138.989 -177.583  -68.987  -28.741  100.946
378  174.376  145.342  167.837  -83.545  -22.928   46.990
379 -170.475  144.157  161.773  -88.260   -6.972   80.626
380 -177.808  143.574  175.188  -62.139  -20.555   98.971
381 -145.859  142.504  169.963  -66.330  -29.744  110.673
