## Torsion are defined with the following atomIDs:
# dihed1: ai= 13335 aj= 13334 ak= 13330 al= 13331
# dihed2: ai= 13329 aj= 13328 ak= 13326 al= 13313
# dihed3: ai= 13328 aj= 13326 ak= 13313 al= 13318
# dihed4: ai= 13323 aj= 13324 ak= 13340 al= 13341
# dihed5: ai= 13333 aj= 13332 ak= 13338 al= 13339
# dihed6: ai= 13330 aj= 13331 ak= 13336 al= 13337
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6
387  -69.710 -137.581   83.843 -133.080    1.508 -105.257
388 -113.653 -173.876   83.758 -127.464 -151.935   15.315
389 -173.023 -144.923   80.966 -135.681 -156.903  -48.825
390   18.157 -173.942   82.477 -130.572   22.634  129.106
391   65.980 -146.663   84.338 -118.833 -160.132   64.766
392 -165.188 -177.837   87.136 -124.645  115.074  -23.983
393  171.354 -149.314   74.257 -122.975  -36.889 -136.996
394  157.119 -153.212   73.445 -131.617   65.678 -115.291
395  172.173 -178.089   85.636 -120.097   19.955   77.881
396   22.449 -175.653   71.914 -122.068   15.186  126.480
397  159.238 -157.517   69.813 -127.657   81.897   85.833
398 -151.077 -144.638   79.652 -129.633 -166.457   54.654
399 -160.527 -144.006   69.937 -118.450 -170.535   72.810
400  164.973 -160.729   64.242 -149.008  148.436   52.455
401   23.874  163.124   96.666 -126.437   15.797   98.565
402   -1.790 -169.096   67.288  -95.915  100.147   76.344
403  176.118 -136.008   59.533 -102.903  164.616   65.996
404    9.722 -126.667   48.154 -115.499   34.184  122.025
405  116.365 -140.757   58.725 -133.876   -5.005 -112.979
406 -132.013 -139.451   66.963 -119.264   -8.917  -21.571
407  162.587 -166.393   72.237 -145.016   -3.786  -51.651
408  139.053 -136.058   62.694 -129.724  127.299  -53.025
409  152.531 -163.452   66.461 -108.444    9.323  -61.468
410 -176.874  177.752   85.157  -97.799  145.820   81.440
411   81.221  179.704   80.712 -113.015 -168.030   54.767
412   56.108 -167.279   84.261 -123.198  136.676   72.837
413  147.768 -145.523   76.495 -114.974 -158.610   78.300
414 -164.801 -146.275   74.094 -110.211  166.851   77.569
