## Torsion are defined with the following atomIDs:
# dihed1: ai= 8399 aj= 8398 ak= 8397 al= 8393
# dihed2: ai= 8398 aj= 8397 ak= 8393 al= 8394
# dihed3: ai= 8392 aj= 8391 ak= 8389 al= 8379
# dihed4: ai= 8391 aj= 8389 ak= 8379 al= 8384
# dihed5: ai= 8382 aj= 8383 ak= 8406 al= 8407
# dihed6: ai= 8386 aj= 8387 ak= 8408 al= 8414
# dihed7: ai= 8396 aj= 8395 ak= 8403 al= 8404
# dihed8: ai= 8395 aj= 8403 ak= 8404 al= 8405
# dihed9: ai= 8393 aj= 8394 ak= 8400 al= 8401
# dihed10: ai= 8394 aj= 8400 ak= 8401 al= 8402
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7   dihed8   dihed9  dihed10
216  157.532  132.530 -159.453  -95.474  -17.188  141.138   44.722  132.795  -37.048 -143.980
217 -165.532  174.459 -154.095 -105.407  -18.570  152.174   46.825  129.653 -143.201  150.009
218  152.084   88.608 -140.585 -110.794  -76.903  153.462   -4.533  166.443   69.985  168.218
219 -149.673  143.048 -152.000 -108.529  -32.973  152.424   28.742  158.836  -38.532 -144.626
220  165.400  156.882 -151.933 -117.079   10.165  148.601   26.215  156.939  -14.675 -166.940
221 -163.544  156.842 -147.028 -129.230  -53.237  154.932   23.867  171.802  172.402 -172.692
222  149.411  115.577 -132.874 -136.022   31.166  164.544   14.967  160.706  -41.891 -159.727
223   89.086  151.497 -138.822 -111.872  -25.987  151.717   26.174  144.874  -52.407 -129.423
224  -74.254  170.307 -142.188 -120.457  -12.801  156.941   -2.875   74.801  -51.539 -134.853
225  -85.301 -176.756 -141.773 -124.330   25.785  162.550   48.586  125.246   -3.996 -165.667
226  -81.084 -175.128 -135.114 -103.687   27.745 -159.899   27.785  132.695  -46.474 -129.936
227   90.747  178.394 -143.962 -121.960   -4.303  146.239   22.695  155.163  176.417 -158.333
228  179.250 -161.599 -139.895 -104.969    9.854  151.553   26.976  165.205 -149.473  151.686
229  160.935 -162.838 -131.467 -113.663    9.899  164.715   13.621 -174.778  156.816 -176.119
230   89.758  176.857 -141.509 -126.743   18.780  164.284   20.259  162.363  168.984 -159.618
231 -110.406 -150.407 -150.690 -118.811   -6.012  141.563   46.862  126.156  175.236 -169.108
232  -81.244  173.831 -131.119 -123.470   -1.029  146.507  -12.918  176.921  152.229 -160.751
233  -75.839 -172.874 -144.446 -117.018   12.735  143.688  -16.604 -167.930 -172.031  174.877
234  145.240 -125.485 -149.047 -127.798   21.914  125.787   22.291  155.669  164.820 -159.979
235   82.104 -174.612 -155.445 -125.222   -0.504  164.318   43.988  136.129  179.509 -172.829
236   69.746 -170.570 -161.010 -110.572   31.816  135.078   61.880  140.509 -170.191  166.539
237   93.546  178.565 -144.060 -118.066   -6.616  151.917   31.534  142.293 -143.214  145.603
238  177.113 -178.420 -145.545 -127.327   -7.937  160.686   29.314  158.990 -172.823  178.185
239 -171.275  149.123 -140.733 -121.803  -21.771  157.552   35.013  141.028 -144.811  141.782
240  178.098 -152.729 -139.639 -118.851  -54.730  140.533   34.668  141.073 -161.980  161.288
241 -144.428 -179.810 -143.268 -117.904  -12.430  131.279   91.515  -92.814  -53.631 -133.846
242  128.201  139.927 -143.956  -94.902   20.979  135.803  139.386 -124.068  -40.175  125.875
243  175.270   -3.654 -137.159 -113.211   25.607  143.796   -7.647  172.634 -125.564  135.371
244 -102.293 -152.878 -144.091 -115.515    1.157  147.011   44.069  127.001  -78.434  173.061
245 -179.884  155.579 -125.594 -116.607   22.878  150.966  -42.504 -158.221  179.479  179.775
246  167.591 -177.040 -147.957 -114.998   20.613  139.401   41.897  123.204 -162.398  166.620
247  -95.512 -171.523 -145.562 -108.408  -10.152  144.505    4.884  175.142 -135.731  152.069
248 -169.886  173.923 -155.591 -101.841    6.151  153.438   64.984 -152.819 -162.228  165.119
249  171.691  170.408 -132.418 -115.605    9.143  137.935   -0.786  162.040  166.195 -179.810
250  156.640 -172.267 -135.344 -131.430   25.819  127.409   23.033  168.092 -154.041  164.701
