  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      320        1.648        5.441            0      480.809       45.562       74.593
      321        1.526        5.464            0      487.780       51.399       69.617
      322        1.470        5.494            0      480.579       32.058       76.602
      323        1.512        5.539            0      482.815       34.014       72.750
      324        1.540        5.491            0      479.076       40.033       81.503
      325        1.285        5.503            0      477.920       52.946       78.503
      326        1.585        5.433            0      481.413       62.175       69.730
      327        1.435        5.381            0      474.933       43.433       79.748
      328        1.538        5.529            0      473.208       26.236       83.458
      329        1.507        5.467            0      473.967       22.454       80.179
      330        1.501        5.329            0      472.723       21.644       78.190
      331        1.577        5.325            0      474.116       22.376       77.748
      332        1.550        5.582            0      481.921       31.693       74.595
      333        1.444        5.475            0      479.385       25.650       75.798
      334        1.616        5.567            0      482.478       26.975       77.782
      335        1.483        5.470            0      479.091       23.747       73.429
      336        1.468        5.474            0      475.874       22.699       74.886
      337        1.602        5.456            0      482.751       29.214       66.543
      338        1.465        5.620            0      487.977       30.295       69.474
      339        1.542        5.602            0      488.259       21.165       71.661
      340        1.658        5.529            0      482.363       32.068       74.762
      341        1.507        5.575            0      483.094       24.065       71.996
      342        1.600        5.507            0      483.841       17.510       71.987
      343        1.469        5.494            0      475.115       21.236       77.835
      344        1.525        5.656            0      487.553       27.835       64.301
      345        1.508        5.524            0      475.485       24.975       75.081
      346        1.474        5.558            0      482.086       22.653       75.380
      347        1.404        5.473            0      479.561       23.365       77.049
      348        1.531        5.629            0      483.566       30.955       76.158
      349        1.700        5.592            0      480.005       28.613       69.391
      350        1.320        5.592            0      483.600       28.057       73.187
      351        1.397        5.554            0      477.166       24.944       79.255
      352        1.428        5.580            0      479.586       18.052       73.780
      353        1.365        5.531            0      474.762       16.865       72.188
      354        1.375        5.731            0      483.907       16.807       74.381
      355        1.442        5.474            0      483.950        9.722       70.549
      356        1.532        5.510            0      483.260       17.079       70.318
      357        1.507        5.467            0      478.597       11.203       77.118
      358        1.648        5.468            0      476.717       25.091       77.677
      359        1.460        5.451            0      478.450       17.405       77.869
      360        1.576        5.614            0      487.408       33.982       77.501
      361        1.508        5.697            0      489.224       25.751       77.192
      362        1.579        5.637            0      482.911       28.784       71.431
      363        1.649        5.531            0      482.849       23.155       66.475
      364        1.603        5.485            0      481.342       21.295       66.426
      365        1.479        5.617            0      485.940       15.839       72.065
      366        1.498        5.616            0      484.764       15.475       73.030
      367        1.543        5.643            0      482.185       15.175       70.507
      368        1.514        5.600            0      478.565       24.110       73.855
      369        1.616        5.465            0      483.024       20.289       69.000
      370        1.408        5.593            0      482.300       33.028       74.555
      371        1.461        5.595            0      485.936       23.407       70.289
      372        1.405        5.550            0      482.109       19.066       68.821
      373        1.600        5.436            0      475.128       22.259       80.341
      374        1.379        5.601            0      491.164       24.277       70.597
      375        1.568        5.605            0      481.826       33.473       77.615
      376        1.569        5.439            0      473.758       23.860       76.096
      377        1.497        5.533            0      488.945       39.768       62.353
      378        1.457        5.535            0      485.114       39.104       63.041
      379        1.444        5.541            0      482.624       16.045       62.229
      380        1.365        5.571            0      481.616       27.992       72.404
      381        1.388        5.565            0      483.044       35.990       66.567
      382        1.337        5.554            0      482.375       20.926       72.524
      383        1.277        5.513            0      474.099       22.590       77.998
      384        1.450        5.607            0      477.154       36.574       75.192
      385        1.363        5.548            0      478.698       33.131       74.006
      386        1.454        5.519            0      478.717       52.699       71.881
      387        1.234        5.477            0      477.879       38.923       69.483
      388        1.352        5.600            0      477.475       31.980       79.145
      389        1.351        5.534            0      481.015       24.580       79.525
      390        1.319        5.663            0      486.527       35.091       66.939
      391        1.522        5.661            0      487.788       34.650       74.934
      392        1.260        5.568            0      479.755       15.833       79.979
      393        1.387        5.449            0      482.708       17.522       65.965
      394        1.514        5.431            0      478.892       22.712       71.391
      395        1.396        5.627            0      480.440       38.046       73.870
      396        1.481        5.351            0      476.122       17.264       80.409
      397        1.532        5.461            0      482.142       32.351       69.984
      398        1.343        5.421            0      481.699       14.504       73.645
      399        1.513        5.580            0      486.469       16.124       69.082
      400        1.528        5.360            0      475.904       15.969       76.855
      401        1.439        5.487            0      482.342        8.913       73.839
      402        1.484        5.469            0      480.691       13.116       76.969
      403        1.466        5.508            0      476.559       21.402       81.772
      404        1.468        5.342            0      475.234       24.314       74.717
      405        1.479        5.415            0      479.361       20.700       77.659
      406        1.377        5.351            0      481.530       17.729       73.514
      407        1.582        5.350            0      474.697       18.279       69.506
      408        1.589        5.456            0      475.893        9.641       69.686
      409        1.513        5.299            0      469.646       15.631       75.205
      410        1.287        5.355            0      476.111       15.855       72.882
      411        1.400        5.458            0      480.792       20.353       63.079
      412        1.374        5.476            0      488.570       10.597       70.033
      413        1.465        5.352            0      479.047       14.415       67.647
      414        1.390        5.271            0      472.992       19.946       75.521
      415        1.429        5.343            0      475.110       20.534       71.758
      416        1.626        5.416            0      481.223       16.872       66.255
      417        1.602        5.532            0      486.304       17.590       70.414
      418        1.626        5.450            0      484.246       18.454       67.441
      419        1.329        5.443            0      473.711       21.011       68.186
      420        1.391        5.407            0      479.392       24.922       73.718
